ejemplares,protobuf_mean,protobuf_std,json_mean,json_std,protobuf_gzip_mean,protobuf_gzip_std,json_gzip_mean,json_gzip_std,ahorro_mean_pct,ahorro_gzip_mean_pct
1,116,0.0,242,0.0,135,0.0,212,0.0,52.066115702479344,36.32075471698113
5,194,0.0,440,0.0,163,0.0,245,0.0,55.90909090909091,33.46938775510204
10,292,0.0,689,0.0,179,0.0,262,0.0,57.61973875181422,31.679389312977097
25,584,0.0,1432,0.0,230,0.0,307,0.0,59.217877094972074,25.0814332247557
50,1072,0.0,2670,0.0,304,0.0,373,0.0,59.8501872659176,18.498659517426276
100,2046,0.0,5145,0.0,444,0.0,505,0.0,60.2332361516035,12.07920792079208
250,4974,0.0,12572,0.0,785,0.0,904,0.0,60.435889277760104,13.163716814159294
500,9848,0.0,24946,0.0,1357,0.0,1545,0.0,60.52272909484486,12.168284789644012
