ejemplares,repeticion,protobuf_bytes,json_bytes,protobuf_gzip_bytes,json_gzip_bytes,ahorro_protobuf_pct,ahorro_protobuf_gzip_pct,python_version,protobuf_version,gzip_level
1,1,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,2,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,3,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,4,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,5,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,6,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,7,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,8,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,9,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,10,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,11,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,12,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,13,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,14,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,15,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,16,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,17,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,18,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,19,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,20,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,21,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,22,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,23,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,24,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,25,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,26,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,27,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,28,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,29,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
1,30,116,242,135,212,52.066115702479344,36.32075471698113,3.13.7,7.36.2,9
5,1,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,2,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,3,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,4,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,5,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,6,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,7,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,8,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,9,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,10,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,11,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,12,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,13,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,14,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,15,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,16,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,17,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,18,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,19,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,20,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,21,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,22,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,23,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,24,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,25,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,26,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,27,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,28,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
